Name,Code,MyOpinion,DebtToEqity,CurrentRato,"CAGR 1 Year","CAGR 2 Year","CAGR 3 Year","CAGR 4 Year","CAGR 5 Year","CAGR 6 Year"
"Lumax Industries",2238,YES,0.29,0.69,29.64,14.66,-,-,-,-
"Andhra Petrochemicals",206,,0.98,1.05,-1.32,52.98,7.77,-12.56,-11.38,-
"Goodricke Group",1336,,0.06,1.52,8.13,0.47,7.11,6.26,6.54,-
"Jay Shree Tea  and  Inds.",1889,,1.41,0.79,7.29,2.04,2.61,0.33,1.64,2.48
"Mahindra Lifespace Developers",6274,,0.22,2.68,-22.49,-3.18,-17.51,-7.30,-3.57,-
"3M India",562,Explore,0.01,3.04,7.76,9.77,11.91,10.21,10.41,-
"8K Miles Software Services",7765,YES,0.10,5.43,96.42,106.68,129.71,112.37,90.83,-
"Aarti Industries",39,,1.32,1.02,20.48,12.52,9.39,9.60,12.68,14.68
"Aban Offshore",42,,735.51,0.15,-16.44,-33.54,-28.69,-21.83,-16.72,-
ABB,292,,0.17,1.33,5.07,6.27,5.91,4.48,3.99,-
"Abbott India",2105,YES,0.00,3.39,15.32,13.21,13.48,10.10,15.32,-
"ABC Bearings",228,,0.21,1.16,5.65,8.05,10.41,6.24,1.40,-
ACC,338,Explore,0.00,1.18,20.70,6.08,3.76,4.07,2.79,-
"Action Construction Equipment",16862,YES,0.20,1.13,44.23,30.07,21.44,15.19,10.22,4.07
"Adani Enterprises",57,,1.19,1.04,2.63,5.43,-15.90,-8.75,-3.82,-
"Adani Ports and Special Economic Zone",17950,YES,1.05,3.53,26.41,24.87,21.73,22.29,26.28,-
"Adani Power",20391,,59.73,0.50,-8.43,-9.46,1.22,7.67,24.79,-
"Adani Transmission",22965,,1.72,0.80,39.94,33.73,208.12,-,-,-
"ADF Foods",174,,0.01,4.06,5.67,1.24,1.34,0.91,3.77,-
"Aditya Birla Capital",23831,YES,,,131.76,92.81,-,-,-,-
"Aditya Birla Fashion and Retail",22048,,1.73,0.84,8.49,9.04,57.23,44.20,39.82,-
"Aditya Birla Money",18913,YES,,,23.68,13.46,9.19,19.29,11.90,-
"Advanced Enzyme Technologies",23459,YES,0.12,2.09,18.69,15.53,20.39,13.02,11.94,-
"Aegis Logistics",87,YES,0.25,0.81,21.93,46.98,6.63,-1.23,2.64,-
"Ahluwalia Contracts (India)",6295,YES,0.05,1.52,15.19,14.39,15.54,13.74,2.68,2.11
"AIA Engineering",16461,,0.04,4.68,9.21,8.01,4.21,4.98,7.69,-
"Ajanta Pharma",6424,YES,0.00,3.54,7.11,10.68,12.99,15.17,18.08,-
"Ajmera Realty  and  Infra India",3603,YES,0.92,4.20,32.60,9.14,31.06,44.75,34.26,-
"Aksharchem (India)",359,YES,0.24,1.90,40.46,14.29,22.33,28.99,38.56,-
"Akzo Nobel India",1623,YES,0.00,1.76,10.83,8.90,47.36,-,-,-
"Alembic Pharmaceuticals",21475,Explore,0.32,1.62,0.91,-0.14,15.25,14.10,15.55,-
"Alkem Laboratories",17126,YES,0.21,1.64,12.38,12.34,18.42,18.63,19.61,-
"Alkyl Amines Chemicals",133,YES,0.58,1.33,23.34,12.83,8.89,8.39,11.00,13.44
"Allahabad Bank",6798,,,,-5.32,-3.71,-3.80,-1.93,0.47,2.46
"Allcargo Logistics",16704,,0.24,1.23,8.17,3.64,2.33,5.60,8.81,-
"Alphageo (India)",144,YES,0.20,1.79,40.02,118.39,79.74,45.75,78.49,-
"Amara Raja Batteries",161,YES,0.02,2.17,14.13,14.60,12.93,15.14,15.30,-
"Amber Enterprises India",24149,YES,0.13,1.32,28.67,39.88,20.00,21.53,19.35,-
"Ambuja Cements",1374,YES,0.00,1.25,15.83,56.20,32.01,25.78,18.82,-
"Amrutanjan Health Care",6093,YES,0.00,3.84,6.46,10.72,11.52,13.07,10.84,-
"Anant Raj",200,,0.41,2.21,3.82,0.38,-0.57,-3.82,8.25,-
"Andhra Bank",6470,,,,-0.06,3.44,4.28,6.71,7.94,9.15
"Apar Industries",1378,Explore,0.33,1.21,20.23,7.01,4.33,5.50,4.23,-
"APL Apollo Tubes",4622,YES,0.93,1.01,35.95,12.47,19.35,20.92,21.59,-
"Apollo Hospitals Enterprise",239,,1.06,1.42,13.49,14.98,16.68,17.10,16.88,17.34
"Apollo Micro Systems",24144,,1.32,1.34,32.76,39.54,42.71,-,-,-
"Apollo Pipes",7458,YES,,,11.24,1852.86,-,-,-,-
"Apollo Tyres",241,YES,0.48,1.29,12.19,12.03,5.14,2.53,2.98,-
Arcotech,18073,,1.33,1.35,0.92,5.87,5.57,18.72,23.81,-
"Arihant Superstructures",7861,YES,2.25,1.97,50.55,30.25,22.62,26.96,22.97,-
Arvind,284,YES,0.88,1.09,16.99,16.10,11.02,11.60,14.76,-
"Asahi India Glass",291,,1.28,0.91,11.95,9.54,7.90,5.50,6.34,-
"Asahi Songwon Colors",17315,,0.22,1.73,13.46,3.54,-5.16,2.64,1.98,-
"Ashapura Intimates Fashion",22041,YES,0.43,2.46,24.33,43.16,28.95,23.06,23.96,-
"Ashiana Housing",296,Explore,0.18,2.76,-15.64,-21.44,26.76,28.51,15.72,-
"Ashok Leyland",306,,2.15,1.02,29.56,17.94,24.29,26.68,-,-
"Ashoka Buildcon",21008,,16.15,0.73,19.59,25.89,16.35,18.10,16.01,16.56
"Asian Granito India",17602,Explore,0.78,1.24,8.41,7.99,10.98,10.56,10.30,-
"Asian Paints",329,,0.06,1.55,9.68,8.89,6.17,7.52,9.22,-
"Astec Lifesciences",20554,YES,0.74,0.97,24.59,21.57,11.94,16.02,16.40,-
"Astra Microwave Products",7374,,0.19,2.80,-6.16,-6.77,-16.58,-8.89,9.65,14.52
"Astral Poly Technik",17181,YES,0.19,1.51,11.29,12.30,13.92,18.29,20.70,-
"Astrazeneca Pharma India",346,,0.00,1.52,4.51,1.11,3.71,4.82,7.79,-
"Astron Paper  and  Board Mill",24095,YES,0.59,1.37,34.42,26.78,18.58,24.32,56.84,-
Atul,358,YES,0.01,2.17,15.08,12.40,7.46,7.43,10.03,10.53
"Atul Auto",356,,0.00,2.56,16.92,2.43,-,-,-,-
"AU Small Finance Bank",21728,,,,3.12,-,-,-,-,-
"Aurobindo Pharma",363,YES,0.41,1.40,10.25,8.78,10.68,19.51,23.00,-
"Automotive Axles",370,YES,0.00,2.01,29.77,18.37,48.89,22.24,18.79,-
"Avanti Feeds",374,YES,0.01,3.56,30.38,30.04,24.37,31.95,39.53,-
"Avenue Supermarts",22663,YES,0.09,2.88,29.62,38.20,36.92,37.02,37.64,39.78
"Axis Bank",5745,,,,1.53,6.70,9.48,11.01,11.43,13.41
"Bajaj Auto",18752,,0.01,2.25,14.73,5.79,5.91,6.03,4.77,-
"Bajaj Corp",20914,,0.03,3.78,2.15,1.70,-0.01,4.74,5.79,9.01
"Bajaj Electricals",418,,0.78,1.10,10.82,1.47,-,-,-,-
"Bajaj Finance",416,YES,,,34.76,35.51,34.31,-,-,-
"Bajaj Finserv",18751,YES,,,24.86,22.08,58.19,49.73,42.82,-
"Bajaj Hindusthan Sugar",420,,2.31,1.15,32.30,11.54,8.51,-3.11,5.65,2.28
"Bajaj Holdings  and  Investment",417,YES,,,13.50,42.27,19.97,22.38,22.63,-
"Bal Pharma",427,,1.69,1.21,-9.02,2.82,3.86,4.12,12.89,11.61
"Balaji Amines",430,YES,0.33,1.41,28.88,16.09,11.99,9.16,11.13,11.57
"Balaji Telefilms",6598,,0.00,7.66,-1.50,18.86,6.54,0.40,16.17,-
"Balkrishna Industries",438,YES,0.21,1.40,20.28,18.38,5.32,6.02,7.08,7.96
"Balmer Lawrie  and  Co.",440,,0.01,2.20,2.30,4.29,-18.45,-13.35,-10.12,-6.62
"Balrampur Chini Mills",443,YES,0.61,1.10,25.47,24.83,13.36,12.90,5.68,11.01
"Banco Products (India)",449,,0.04,2.80,9.91,7.24,5.76,4.54,6.24,-
"Bandhan Bank",23218,YES,,,27.51,78.38,784.89,-,-,-
"Bank Of Baroda",451,,,,3.13,2.16,2.38,4.10,5.71,7.72
"Bank of India",452,,,,-4.84,-1.77,-2.72,0.99,4.24,5.55
"BASF India",384,,0.65,1.21,10.21,8.71,5.96,6.03,7.29,-
"Bata India",467,,0.00,2.77,6.52,4.69,-0.65,6.37,7.47,7.76
"Bayer CropScience",471,,0.00,2.49,-4.36,-1.81,-10.34,-4.72,-0.32,-
"Beekay Steel Industries",22825,YES,0.80,1.53,39.27,18.03,-,-,-,-
BEML,515,Explore,0.20,2.21,27.66,4.02,4.48,2.34,2.32,2.80
"Berger Paints India",488,YES,0.19,1.63,13.13,10.59,6.14,7.48,9.06,-
"BF Utilities",6711,YES,-5.62,1.98,19.55,16.02,-7.62,13.74,14.80,11.71
"BGR Energy Systems",18059,,1.75,1.02,-3.46,1.10,-0.51,0.12,1.23,-0.70
"Bhansali Engineering Polymers",510,YES,0.00,2.04,87.70,49.43,25.47,-,-,-
"Bharat Bijlee",513,,0.31,1.50,12.78,9.61,8.10,12.00,7.23,-
"Bharat Electronics",516,YES,0.01,1.45,18.39,16.82,12.59,11.62,9.39,8.83
"Bharat Financial Inclusion",20575,YES,,,23.94,27.34,29.72,36.11,42.98,-
"Bharat Forge",518,YES,0.70,1.22,30.46,10.66,3.05,5.58,10.00,4.92
"Bharat Rasayan",527,YES,0.57,1.97,36.58,19.04,19.80,34.89,34.38,-
"Bharti Airtel",6321,,1.60,0.43,-12.54,-6.87,-4.62,-0.49,1.93,-
"Bharti Infratel",21887,,0.00,4.19,3.68,7.03,-16.49,-10.92,-7.71,-
"Bharat Heavy Electricals",520,,0.00,1.85,-2.09,5.75,-1.14,-6.37,-8.75,-7.03
Biocon,15774,YES,0.44,1.94,6.95,12.41,11.27,10.22,11.24,-
"Birla Corporation",564,YES,1.19,1.54,29.26,29.85,19.93,16.61,16.30,-
"Bliss GVS Pharma",573,YES,0.22,2.30,3.73,21.35,25.32,22.57,15.42,-
"Blue Dart Express",582,,0.78,1.15,3.86,4.20,7.08,9.30,4.98,10.89
"Blue Star",583,YES,0.45,1.10,8.71,12.04,14.63,12.95,10.17,-
"Bodal Chemicals",963,,0.26,1.54,-7.48,11.77,3.13,4.57,16.73,-
"Bombay Burmah Trdg. Corpn.",587,,0.26,1.76,8.41,8.17,7.72,9.13,9.62,9.66
"Bombay Dyeing  and  Mfg. Co.",590,YES,4.27,2.10,35.93,19.63,3.55,33.81,-,-
"Bombay Rayon Fashions",16384,,2.09,1.17,-9.18,3.99,9.24,4.20,6.06,6.26
"Borosil Glass Works",601,YES,0.06,2.88,10.59,20.92,19.16,35.49,-,-
Bosch,2522,,0.00,1.91,3.97,3.98,-,-,-,-
"Bharat Petroleum Corpn.",525,,1.03,0.89,17.00,12.02,-0.97,-2.76,-0.51,1.80
"Brigade Enterprises",18074,,1.49,1.26,-5.48,-3.07,13.49,19.11,18.44,-
"Britannia Industries",611,Explore,0.06,1.91,9.51,8.76,8.25,9.76,10.08,-
BSE,23649,YES,,,50.47,34.28,24.67,22.98,17.00,-
"Cadila Healthcare",6179,YES,0.62,1.35,26.40,12.31,11.40,13.39,13.48,-
"Camlin Fine Sciences",17152,,1.01,1.41,33.47,21.90,8.98,8.95,13.77,-
"Can Fin Homes",646,YES,,,14.33,19.49,23.72,27.71,31.00,-
"Canara Bank",6218,,,,-1.15,-0.44,0.13,2.76,5.45,6.23
"Capacite Infraprojects",23878,YES,0.32,1.51,17.09,26.11,34.38,58.45,136.79,-
"Capital First",18169,YES,,,36.01,42.05,38.13,37.63,36.36,-
"Caplin Point Laboratories",653,YES,0.00,1.60,69.77,27.08,32.52,33.61,30.26,-
"Carborundum Universal",659,YES,0.08,2.76,11.66,10.06,4.80,2.72,3.79,-
"CARE Ratings",5806,YES,0.00,1.53,11.54,11.50,5.59,7.18,9.08,-
"Castrol India",665,,0.00,1.67,6.08,3.96,2.16,2.97,2.81,-
"CCL Products (India)",797,YES,0.42,2.86,16.78,10.60,8.92,12.24,11.84,-
Ceat,670,,0.34,0.99,8.46,6.71,2.81,3.03,4.36,-
"Central Bank of India",6216,,,,-3.12,-2.08,-1.91,0.35,2.59,4.49
"Central Depository Services (India)",23780,YES,,,20.78,18.27,21.07,16.43,12.71,-
"Centum Electronics",6190,,2.01,1.03,19.78,44.73,20.43,19.38,24.99,22.29
"Century Plyboards (India)",15920,YES,0.69,1.25,10.35,11.07,8.15,10.73,11.31,3.30
"Century Textiles  and  Inds.",689,,1.59,0.58,4.83,-,-,-,-,-
"Cera Sanitaryware",7375,YES,0.16,1.97,17.27,13.75,-,-,-,-
CESC,623,,1.48,1.13,15.02,12.66,11.44,16.49,18.65,17.94
"CG Power  and  Industrial Solutions",831,,0.93,1.24,-7.46,-14.57,14.48,-12.02,-7.37,-
"Chambal Fertilisers  and  Chemicals",700,,2.45,1.14,-0.08,-7.37,-7.89,-3.89,-1.47,0.16
"Chembond Chemicals",714,,0.04,2.13,12.40,6.82,4.78,5.95,5.39,-
"Chennai Petroleum Corpn.",2289,,1.10,0.74,17.44,12.18,-8.25,-,-,-
"Cholamandalam Investment  and  Finance Co.",740,YES,,,17.13,12.47,12.15,12.81,16.11,18.32
Cipla,748,Explore,0.29,2.82,6.09,6.01,10.46,10.41,12.78,-
"City Union Bank",7239,,,,7.57,8.31,8.24,8.63,9.83,-
"Clariant Chemicals (India)",778,,0.00,2.00,5.17,-6.85,-0.58,-4.76,-1.37,-
"Claris Lifesciences",21086,,0.02,2.16,1.06,-43.27,-26.26,-22.18,-17.73,-
"Coal India",4673,YES,0.08,1.35,9.18,10.65,11.28,9.89,8.13,-
"Cochin Shipyard",23846,,0.04,2.34,-,-,-,-,-,-
"Coffee Day Enterprises",22579,,2.12,1.14,20.66,16.15,12.50,13.04,12.34,-
"Colgate-Palmolive (India)",776,,0.00,1.05,5.07,4.00,1.73,3.88,5.63,-
"Container Corpn. Of India",794,,0.01,3.03,10.29,2.38,2.18,5.04,7.66,7.75
"Control Print",801,YES,0.00,4.34,17.72,13.87,15.32,17.48,16.91,17.41
"Coromandel International",811,,0.88,1.25,9.12,-3.02,-1.06,2.13,3.87,-
"Corporation Bank",814,,,,-11.62,-2.89,-1.75,0.42,3.31,5.43
"Cosco (India)",816,Explore,1.37,1.89,8.60,7.14,9.02,10.11,11.05,-
