Name,Code,Industry,myOpinion,Price,Change,Change%,Volume,PE,PB,"Market cap",Revenue,Profit,NetMargin,ROE,1M,3M,1Y,3Y,5Y,10Y
"Lumax Industries",2238,Auto,YES,"1,893.00"," -60.30 "," -3.09% ","10,662",22.83,4.61,"1,748.03","1,805.69",66.97,3.70,17.27,-3.36,-0.86,59.80,66.73,42.23,31.44
"Andhra Petrochemicals",206,Chemicals,YES,66.15," -3.25 "," -4.68% ","161,584",7.80,2.97,562.09,568.69,72.03,12.61,-6.38,-11.54,58.99,89.10,66.41,41.99,16.50
"Goodricke Group",1336,"Consumer Goods",YES,255.50," 3.10 "," 1.23% ","14,684",33.47,1.77,557.28,721.92,16.65,2.25,10.60,-8.22,-0.71,2.12,21.66,18.25,12.99
"Jay Shree Tea  and  Inds.",1889,"Consumer Goods",,84.30," -4.25 "," -4.80% ","150,510",71.14,0.87,242.57,570.08,3.41,0.58,0.71,-3.85,11.59,-3.96,12.48,1.58,1.21
"Mahindra Lifespace",6274,"real Estate",,440.45," 3.45 "," 0.79% ","64,127",19.83,1.09,"2,258.68",584.09,67.92,10.12,3.13,-6.51,-22.16,-5.51,-0.74,2.89,3.03
"3M India",562,General,Explore,"23,088.15"," 520.10 "," 2.30% ","3,079",75.55,15.89,"25,993.64","2,592.45",344.06,13.01,22.48,-11.84,17.18,55.99,27.27,48.64,31.07
"8K Miles Software Services",7765,IT,,181.80," -9.55 "," -4.99% ","33,779",66.93,6.77,557.40,54.15,8.33,13.50,46.21,-38.19,-59.72,-48.92,-28.40,47.13,-
"Aarti Industries",39,Chemicals,Explore,"1,138.85"," -23.35 "," -2.01% ","31,467",27.04,5.78,"9,266.98","3,985.98",342.68,8.59,23.55,-12.98,-3.41,31.90,31.43,75.17,39.68
"Aban Offshore",42,General,,80.15," -2.15 "," -2.61% ","526,487",-,-1.59,466.63,"1,328.94","-2,703.38",-194.64,-196.40,-30.05,-26.45,-55.00,-29.16,-17.95,-27.66
ABB,292,Engineering,,"1,422.90"," 13.10 "," 0.93% ","59,120",66.40,8.22,"30,514.81","9,932.98",459.55,4.58,12.18,7.84,21.77,0.08,10.15,20.73,5.77
"Abbott India",2105,Pharma,Explore,"7,640.85"," -132.70 "," -1.71% ","9,645",37.29,9.15,"16,234.47","3,445.75",435.39,12.23,26.06,-2.27,6.45,89.40,10.93,41.67,31.57
"ABC Bearings",228,Engineering,,437.65," 0.80 "," 0.18% ","3,119",30.17,3.33,505.49,206.58,16.75,8.00,8.92,-,-,-,-,-,-
ACC,338,Cement,,"1,573.60"," 21.25 "," 1.37% ","854,187",30.59,3.08,"29,557.72","14,083.57",955.68,6.71,10.06,-4.39,20.21,-5.68,5.11,7.13,9.71
"Action Construction Equipment",16862,"real Estate",YES,95.20," -4.25 "," -4.27% ","215,887",17.06,2.65,"1,117.50","1,233.76",65.52,5.28,14.53,-26.61,-20.06,54.31,39.31,64.24,6.59
"Adani Enterprises",57,Engineering,,137.35," 6.75 "," 5.17% ","9,826,192",19.68,1.00,"15,100.39","37,209.29",304.69,0.92,2.58,-43.14,19.43,13.27,17.56,-2.14,-7.25
"Adani Ports and Special Economic Zone",17950,Engineering,YES,330.35," 1.45 "," 0.44% ","4,159,563",18.99,3.14,"68,444.96","10,988.85","3,624.50",29.40,19.12,-15.00,-9.09,-11.60,2.30,18.50,14.31
"Adani Power",20391,Utilities,,26.05," 2.25 "," 9.45% ","30,035,603",-,169.16,"10,047.33","18,945.18","-2,461.48",-12.62,-107.63,-31.71,53.55,-18.77,-0.76,-6.35,-
"Adani Transmission",22965,Utilities,YES,158.30," -2.10 "," -1.31% ","169,207",14.41,4.04,"17,701.44","3,958.96","1,228.18",29.71,31.95,-31.28,9.45,9.26,80.35,-,-
"ADF Foods",174,"Consumer Goods",YES,220.65," 3.95 "," 1.82% ","39,882",22.63,2.81,432.49,211.15,19.11,8.71,10.61,-12.40,-2.34,-9.58,33.05,38.11,19.95
"Aditya Birla Capital",23831,General,,110.75," -3.90 "," -3.40% ","3,190,536",28.18,2.79,"24,435.12","13,745.73",927.03,6.64,13.21,-17.04,-10.32,-34.82,-,-,-
"Aditya Birla Fashion and Retail",22048,General,,184.80," 1.30 "," 0.71% ","723,286",98.85,13.12,"14,207.41","7,326.11",143.72,1.95,11.60,-11.18,33.07,16.69,-4.45,9.43,-
"Aditya Birla Money",18913,Bank/Finance,YES,46.35," -1.90 "," -3.94% ","68,122",25.21,5.58,260.81,164.53,10.35,6.05,26.16,-21.10,-7.30,-41.05,27.89,28.32,-1.48
"Advanced Enzyme Technologies",23459,"Consumer Goods",YES,182.70," -6.15 "," -3.26% ","133,883",19.60,3.47,"2,037.59",419.67,108.52,25.75,18.34,-9.08,-10.94,-24.03,-,-,-
"Aegis Logistics",87,Services,Explore,191.00," -7.70 "," -3.88% ","181,629",31.86,5.17,"6,546.40","4,951.78",226.15,4.56,20.92,-15.45,-5.27,-14.71,31.14,72.62,38.07
"Ahluwalia Contracts",6295,Engineering,,267.70," -10.40 "," -3.74% ","58,696",15.56,2.73,"1,775.17","1,546.28",114.11,7.35,20.50,-12.24,-17.04,-10.54,3.00,73.61,13.42
"AIA Engineering",16461,Engineering,Explore,"1,739.80"," -38.30 "," -2.15% ","30,960",35.54,5.25,"16,345.72","2,590.39",459.74,16.94,15.49,2.91,19.37,33.70,22.72,40.86,20.22
"Ajanta Pharma",6424,Pharma,YES,"1,071.50"," 7.75 "," 0.73% ","263,495",19.66,4.39,"9,431.66","2,168.73",479.64,21.74,25.97,-13.82,8.83,-6.79,-9.67,29.85,59.63
"Ajmera Realty  and  Infra India",3603,"real Estate",YES,157.10," -2.10 "," -1.32% ","74,441",6.87,0.96,553.74,329.98,81.39,24.18,15.91,-26.94,-19.10,-23.66,15.48,22.12,9.39
"Aksharchem (I)",359,Chemicals,YES,470.80," -3.35 "," -0.71% ","2,700",12.41,1.57,384.70,276.44,30.99,10.84,16.19,-4.17,-9.12,-35.70,56.87,61.10,42.66
"Akzo Nobel India",1623,Pharma,,"1,614.85"," 11.50 "," 0.72% ","4,771",36.63,5.72,"7,624.53","2,832.58",402.79,7.23,34.83,-8.37,-12.89,-13.77,6.16,14.06,13.70
"Alembic Pharmaceuticals",21475,Pharma,,635.60," 6.60 "," 1.05% ","61,020",27.52,5.20,"12,008.46","3,345.15",447.91,13.35,20.42,6.44,25.44,25.80,-2.87,34.90,-
"Alkem Laboratories",17126,Pharma,,"2,064.40"," 9.45 "," 0.46% ","25,359",35.35,4.92,"24,586.15","6,788.10",711.91,10.36,13.69,-0.73,7.08,10.19,-,-,-
