Name,Code,Industry,myOpinion,Price,Change,Change%,Volume,PE,PB,"Market cap",Revenue,Profit,NetMargin,ROE,1M,3M,1Y,3Y,5Y,10Y
"Lumax Industries",2238,Auto,YES,"2,069.25"," -0.80 "," -0.04% ","7,288",25.01,5.05,"1,914.79","1,805.69",66.97,3.70,17.27,-2.92,-3.81,69.45,68.85,43.94,31.93
"Andhra Petrochemicals",206,Chemicals,YES,74.00," 1.40 "," 1.93% ","105,102",8.61,3.28,620.29,568.69,72.03,12.61,-6.38,-9.59,59.21,89.56,69.33,43.43,16.73
"Goodricke Group",1336,"Consumer Goods",YES,282.90," -3.90 "," -1.36% ","5,821",36.51,1.94,607.93,721.92,16.65,2.25,10.60,3.09,5.40,19.72,27.13,20.75,14.01
"Jay Shree Tea  and  Inds.",1889,"Consumer Goods",,93.05," 0.20 "," 0.22% ","49,343",78.76,0.96,268.56,570.08,3.41,0.58,0.71,6.17,10.40,0.87,14.75,2.47,1.15
"Mahindra Lifespace",6274,"real Estate",,456.45," -4.40 "," -0.95% ","12,963",20.63,1.13,"2,350.06",584.09,67.92,10.12,3.13,-2.94,-23.25,-4.60,0.87,3.88,2.72
"3M India",562,General,Explore,"22,879.10"," -247.90 "," -1.07% ","1,343",76.21,16.02,"26,220.58","2,592.45",344.06,13.01,22.48,-9.02,16.59,59.96,28.52,49.21,31.10
"8K Miles Software Services",7765,IT,,211.95," -11.15 "," -5.00% ","16,754",78.05,7.89,650.02,54.15,8.33,13.50,46.21,-33.73,-55.49,-41.34,-24.97,51.51,-
"Aarti Industries",39,Chemicals,Explore,"1,198.45"," -30.60 "," -2.49% ","41,142",28.29,6.04,"9,695.43","3,985.98",342.68,8.59,23.55,-11.97,0.48,41.93,35.58,78.04,40.14
"Aban Offshore",42,General,,88.20," 0.05 "," 0.06% ","537,869",-,-1.75,513.61,"1,328.94","-2,703.38",-194.64,-196.40,-22.37,-24.66,-50.49,-27.57,-16.22,-27.89
ABB,292,Engineering,,"1,440.00"," 10.95 "," 0.77% ","106,678",66.83,8.28,"30,709.76","9,932.98",459.55,4.58,12.18,8.31,20.16,-0.37,9.47,20.38,5.43
"Abbott India",2105,Pharma,Explore,"7,900.00"," -202.75 "," -2.50% ","7,154",39.13,9.60,"17,038.43","3,445.75",435.39,12.23,26.06,6.94,6.03,95.21,12.36,42.53,31.87
"ABC Bearings",228,Engineering,,437.65," 0.80 "," 0.18% ","3,119",30.17,3.33,505.49,206.58,16.75,8.00,8.92,-,-,-,-,-,-
ACC,338,Cement,,"1,582.15"," 18.35 "," 1.17% ","589,796",30.64,3.08,"29,606.54","14,083.57",955.68,6.71,10.06,-4.70,18.87,-4.22,5.19,7.38,9.90
"Action Construction Equipment",16862,"real Estate",YES,103.80," -1.35 "," -1.28% ","165,919",18.17,2.82,"1,190.24","1,233.76",65.52,5.28,14.53,-21.76,-23.72,67.17,41.37,65.53,7.05
"Adani Enterprises",57,Engineering,,135.60," -2.75 "," -1.99% ","6,759,634",19.36,0.98,"14,858.43","37,209.29",304.69,0.92,2.58,-33.74,8.94,18.60,19.84,-0.63,-7.13
"Adani Ports and Special Economic Zone",17950,Engineering,YES,338.55," 0.60 "," 0.18% ","3,423,986",19.48,3.22,"70,194.91","10,988.85","3,624.50",29.40,19.12,-10.30,-6.42,-13.05,3.83,19.14,14.40
"Adani Power",20391,Utilities,,26.00," 1.00 "," 4.00% ","19,032,843",-,165.91,"9,854.48","18,945.18","-2,461.48",-12.62,-107.63,-20.26,39.28,-18.57,0.07,-5.99,-
"Adani Transmission",22965,Utilities,YES,172.45," 0.20 "," 0.12% ","306,138",15.15,4.25,"18,608.79","3,958.96","1,228.18",29.71,31.95,1.32,2.41,35.36,82.27,-,-
"ADF Foods",174,"Consumer Goods",YES,231.75," 0.45 "," 0.19% ","22,163",24.04,2.99,459.52,211.15,19.11,8.71,10.61,-6.65,-7.36,-4.84,36.11,40.19,20.87
"Aditya Birla Capital",23831,General,,119.45," -0.10 "," -0.08% ","1,146,154",30.43,3.01,"26,383.32","13,745.73",927.03,6.64,13.21,-14.79,-11.84,-36.49,-,-,-
"Aditya Birla Fashion and Retail",22048,General,,184.40," 1.85 "," 1.01% ","344,759",98.80,13.11,"14,199.70","7,326.11",143.72,1.95,11.60,-9.65,30.67,15.39,-5.95,9.83,-
"Aditya Birla Money",18913,Bank/Finance,YES,51.65," 1.85 "," 3.71% ","43,047",28.01,6.19,289.79,164.53,10.35,6.05,26.16,-18.23,-13.09,-41.69,32.55,28.87,-1.19
"Advanced Enzyme Technologies",23459,"Consumer Goods",YES,194.50," -3.65 "," -1.84% ","98,097",20.98,3.71,"2,181.06",419.67,108.52,25.75,18.34,-5.28,-9.97,-21.17,-,-,-
"Aegis Logistics",87,Services,Explore,199.75," -2.60 "," -1.28% ","135,977",32.36,5.25,"6,649.94","4,951.78",226.15,4.56,20.92,-12.55,-8.51,-12.08,30.31,73.87,37.87
"Ahluwalia Contracts",6295,Engineering,,284.40," -3.25 "," -1.13% ","1,179",16.61,2.91,"1,895.75","1,546.28",114.11,7.35,20.50,-8.67,-21.83,-4.78,4.07,75.21,12.88
"AIA Engineering",16461,Engineering,Explore,"1,763.35"," 24.90 "," 1.43% ","15,336",36.02,5.32,"16,565.01","2,590.39",459.74,16.94,15.49,1.18,13.42,28.07,21.20,39.90,19.74
"Ajanta Pharma",6424,Pharma,YES,"1,113.80"," 4.35 "," 0.39% ","275,584",20.25,4.52,"9,712.46","2,168.73",479.64,21.74,25.97,-9.80,6.65,-6.74,-8.01,30.34,59.84
"Ajmera Realty  and  Infra India",3603,"real Estate",YES,174.90," 5.85 "," 3.46% ","127,878",7.83,1.10,630.74,329.98,81.39,24.18,15.91,-24.73,-21.85,-22.79,18.89,24.83,9.87
"Aksharchem (I)",359,Chemicals,YES,475.80," -13.30 "," -2.72% ","2,218",12.81,1.62,397.05,276.44,30.99,10.84,47.45,-6.43,-15.21,-34.45,59.05,60.11,42.18
"Akzo Nobel India",1623,Pharma,,"1,635.65"," -2.30 "," -0.14% ","2,887",36.65,5.73,"7,628.96","2,832.58",402.79,7.23,34.83,-5.69,-13.22,-9.73,6.37,15.07,13.84
"Alembic Pharmaceuticals",21475,Pharma,,649.05," 1.65 "," 0.25% ","203,536",28.08,5.30,"12,253.53","3,345.15",447.91,13.35,20.42,9.21,25.73,33.58,-1.42,34.29,-
"Alkem Laboratories",17126,Pharma,,"2,069.00"," 8.45 "," 0.41% ","16,395",35.67,4.96,"24,809.74","6,788.10",711.91,10.36,13.69,0.53,5.22,11.65,-,-,-
"Alkyl Amines Chemicals",133,Chemicals,YES,604.85," 0.00 "," 0.00% ","1,488",17.68,3.89,"1,225.82",643.45,69.35,10.73,22.61,-4.67,-7.93,49.75,26.54,51.91,30.01
"Allahabad Bank",6798,Bank/Finance,,37.35," -0.40 "," -1.06% ","4,039,929",-,0.54,"3,950.14","16,810.14","5,193.35",0.00,-1.87,-6.33,-8.48,-44.16,-20.91,-14.09,-5.29
"Allcargo Logistics",16704,Services,,107.30," -0.65 "," -0.60% ","180,270",16.22,1.31,"2,648.60","6,188.47",157.14,2.53,9.01,-10.30,0.37,-37.24,-9.64,19.64,2.84
"Alphageo (India)",144,Services,,569.55," 4.70 "," 0.83% ","7,780",6.51,1.46,366.74,445.02,56.37,12.61,26.97,-15.32,-7.50,-25.98,5.85,76.32,6.07
"Amara Raja Batteries",161,Auto,,786.45," 18.45 "," 2.40% ","531,970",27.70,4.40,"13,422.45","6,340.37",484.50,7.56,17.04,-11.15,3.69,4.08,-7.93,20.09,35.65
"Amber Enterprises",24149,"Consumer Goods",,932.00," 2.20 "," 0.24% ","5,965",47.07,3.29,"2,933.02",-,-,-,9.93,-1.44,-3.97,-,-,-,-
"Ambuja Cements",1374,Cement,,226.00," 0.35 "," 0.16% ","2,420,593",28.29,2.12,"44,845.80","24,842.26","2,015.22",8.00,9.54,-4.67,9.12,-13.96,2.91,3.62,10.30
"Amrutanjan Health Care",6093,Pharma,,263.05," 4.85 "," 1.88% ","19,529",39.42,5.92,753.27,229.29,19.84,8.14,16.35,-24.61,-6.06,-11.32,7.42,36.13,24.09
"Anant Raj",200,"Real Estate",,40.55," 0.10 "," 0.25% ","420,254",19.19,0.29,"1,201.04",474.16,53.44,10.21,1.60,-8.98,1.00,-24.91,5.88,-0.68,-10.24
"Andhra Bank",6470,Bank/Finance,,30.30," -0.30 "," -0.98% ","7,091,424",-,0.38,"3,602.49","18,100.08","6,353.93",2.94,-1.44,-5.99,-8.11,-47.91,-23.11,-10.57,-6.13
"Apar Industries",1378,Engineering,YES,598.50," 13.50 "," 2.31% ","13,492",16.79,1.99,"2,262.06","6,009.75",134.75,2.24,13.50,-3.37,-15.47,-22.52,12.13,46.73,14.55
"APL Apollo Tubes",4622,Auto,YES,"1,396.55"," -56.75 "," -3.90% ","24,218",19.76,3.78,"3,322.17","5,847.79",168.13,2.87,20.67,-11.68,-18.60,-15.20,43.01,56.64,22.63
"Apollo Hospitals",239,Services,,"1,043.30"," -2.80 "," -0.27% ","668,763",56.50,3.89,"14,585.19","7,521.09",258.14,3.42,1.81,-12.66,1.41,3.63,-9.43,2.54,16.99
"Apollo Micro Systems",24144,Engineering,,129.05," -0.10 "," -0.08% ","16,610",11.17,1.02,265.26,243.95,23.75,9.65,29.35,-20.08,-24.03,-,-,-,-
"Apollo Pipes",7458,General,,493.00," -5.90 "," -1.18% ","13,655",19.69,4.46,545.10,311.12,27.69,8.63,21.54,-5.73,-3.72,76.41,63.28,-,-
"Apollo Tyres",241,Auto,,227.90," -3.20 "," -1.38% ","2,394,014",14.68,1.30,"13,028.44","15,846.11",887.38,5.55,8.49,-11.35,-13.85,-7.49,7.36,27.55,19.62
Arcotech,18073,Engineering,,11.40," -0.60 "," -5.00% ","213,130",110.64,0.52,119.39,753.40,1.08,0.14,12.42,-21.00,-30.06,-85.66,-45.66,-24.27,15.37
"Arihant Superstructures",7861,"Real Estate",YES,66.20," 0.90 "," 1.38% ","26,259",21.68,2.33,277.83,173.76,15.25,8.71,36.94,-6.01,-40.30,-63.44,24.51,12.10,-
Arvind,284,Manufacturing,,352.20," 7.45 "," 2.16% ","2,720,364",28.65,2.36,"9,059.36","11,185.16",322.04,2.86,8.55,-15.45,-15.55,-5.79,6.66,33.66,29.35
"Asahi India Glass",291,General,Explore,335.95," 10.55 "," 3.24% ","21,854",44.19,7.21,"8,070.59","2,751.22",177.28,6.40,17.15,0.67,-1.59,-12.43,31.59,54.39,20.63
"Asahi Songwon Colors",17315,Chemicals,YES,254.90," 0.70 "," 0.28% ","3,145",12.49,1.68,313.62,305.21,25.11,8.16,13.57,-7.38,-0.39,-16.18,27.09,33.82,22.58
"Ashapura Intimates Fashion",22041,Manufacturing,YES,430.00," -0.05 "," -0.01% ","164,539",18.30,4.84,"1,085.98",343.87,59.36,15.45,35.19,-6.52,-6.53,-14.00,21.31,39.18,-
"Ashiana Housing",296,"Real Estate",,136.70," 2.50 "," 1.86% ","34,007",27.93,1.78,"1,391.99",383.92,49.85,12.49,5.14,-10.40,-5.00,-18.47,-8.52,27.02,29.88
"Ashok Leyland",306,Auto,Explore,120.60," -1.30 "," -1.07% ","11,069,890",19.40,4.73,"35,343.75","28,182.67","1,821.46",6.42,26.34,-5.65,-7.65,7.88,10.18,52.53,24.21
"Ashoka Buildcon",21008,Engineering,,113.00," -3.80 "," -3.25% ","306,929",12.48,1.56,"3,169.37","2,423.67",253.96,9.96,-45.29,-15.39,-22.67,-6.34,1.37,30.45,-
